School,From,To,Yrs,Overall Games,Overall Wins,Overall Losses,Overall Ties,Overall Percent,Bowl Games,Bowl Wins,Bowl Losses,Bowl Ties,Bowl Percent,SRS,SOS,AP,CC,Notes
Tennessee State,1977,1977,1,10,8,1,1,0.85,0,0,0,0,,3.58,-8.72,0,0,
Texas,1902,2014,113,1197,830,335,32,0.707,52,27,23,2,0.538,12.01,4.14,46,30,W-L-T adjusted to 831-335-31 by NCAA.
Texas A&M,1903,2014,112,1178,686,448,44,0.601,35,16,19,0,0.457,7.8,3.28,26,18,
Texas Christian,1903,2014,109,1152,593,509,50,0.536,29,13,15,1,0.466,2.5,1.68,17,16,W-L-T adjusted to 593-508-50 by NCAA.
Texas Southern,1977,1977,1,11,6,4,1,0.591,0,0,0,0,,-5.98,-9.98,0,0,
Texas State,2012,2014,3,35,16,19,0,0.457,0,0,0,0,,-8.43,-6.74,0,0,
Texas Tech,1932,2014,83,933,513,396,24,0.563,36,14,21,1,0.403,4.08,1.87,11,11,
Texas-Arlington,1971,1981,11,120,49,71,0,0.408,0,0,0,0,,-9.71,-6.19,0,1,
Texas-El Paso,1935,2014,77,836,314,504,18,0.386,13,5,8,0,0.385,-8.74,-4.87,0,2,
Texas-San Antonio,2012,2014,3,35,18,17,0,0.514,0,0,0,0,,-6.51,-4.55,0,0,
Toledo,1962,2014,53,600,344,248,8,0.58,13,8,5,0,0.615,-5.18,-7.58,4,10,W-L-T adjusted to 346-246-8 by NCAA.
Trinity (CT),1887,1901,15,126,50,62,14,0.452,0,0,0,0,,-4.52,-2.66,0,0,
Troy,2001,2014,14,169,86,83,0,0.509,5,2,3,0,0.4,-5.36,-5.29,0,5,
Tufts,1877,1905,17,178,70,103,5,0.407,0,0,0,0,,-6.22,-2.65,0,0,
Tulane,1902,2014,110,1111,483,593,35,0.45,11,4,7,0,0.364,0.48,2.02,7,4,W-L-T adjusted to 484-592-35 by NCAA.
Tulsa,1917,2014,83,901,464,419,18,0.525,19,9,10,0,0.474,-1.35,-2.33,8,27,
UCLA,1928,2014,87,946,561,354,31,0.609,33,15,17,1,0.47,9.64,5.86,31,16,W-L-T adjusted to 554-361-31 by NCAA.
Union (NY),1894,1902,3,18,3,15,0,0.167,0,0,0,0,,-10.45,3.85,0,0,
Utah,1905,2014,108,1062,609,423,30,0.588,17,13,4,0,0.765,1.82,-2.1,5,24,
Utah State,1912,2014,100,996,480,488,28,0.496,7,2,5,0,0.286,-4.98,-5,2,12,W-L-T adjusted to 482-486-28 by NCAA.
Vanderbilt,1902,2014,111,1133,523,567,43,0.481,7,4,2,1,0.643,3.94,3.5,3,0,W-L-T adjusted to 524-566-43 by NCAA.
Vermont,1901,1905,5,48,21,22,5,0.49,0,0,0,0,,-3.55,-1.61,0,0,
Villanova,1905,1980,59,547,270,260,17,0.509,5,2,2,1,0.5,-2.26,-3.09,3,0,
Virginia,1890,2014,111,1141,556,548,37,0.504,18,7,11,0,0.389,0.98,0.44,9,2,
Virginia Military Institute,1904,1981,70,684,306,344,34,0.472,0,0,0,0,,-5.32,-4.08,1,7,
Virginia Tech,1902,2014,111,1153,674,435,44,0.604,27,10,17,0,0.37,3.1,-1.14,18,8,W-L-T adjusted to 675-434-44 by NCAA.
Wabash,1904,1905,2,17,8,9,0,0.471,0,0,0,0,,3.1,0.32,0,0,
Wake Forest,1908,2014,107,1081,422,628,31,0.405,10,6,4,0,0.6,-2.84,0.72,4,2,
Washburn,1905,1940,7,68,29,38,1,0.434,0,0,0,0,,-11.77,-8.8,0,0,
Washington,1916,2014,98,1026,589,405,32,0.59,32,16,15,1,0.516,7.9,4.5,22,18,W-L-T adjusted to 592-402-32 by NCAA.
Washington & Jefferson,1905,1934,30,288,196,71,21,0.717,1,0,0,1,0.5,4.76,-2.83,0,0,
Washington & Lee,1907,1953,44,390,191,174,25,0.522,1,0,1,0,0,-0.77,-1.92,1,2,
Washington (MO),1902,1942,40,331,147,165,19,0.473,0,0,0,0,,-5.21,-4.3,0,3,
Washington State,1917,2014,95,978,436,504,38,0.465,10,5,5,0,0.5,2.34,3.42,11,4,W-L-T adjusted to 438-502-38 by NCAA.
Wesleyan (CT),1882,1905,24,217,92,118,7,0.44,0,0,0,0,,0.37,3.72,0,0,
West Texas A&M,1941,1985,44,446,212,225,9,0.485,4,4,0,0,1,-8.65,-8.68,0,4,
West Virginia,1909,2014,102,1088,628,419,41,0.596,32,14,18,0,0.438,3.88,0.28,18,15,
West Virginia Wesleyan,1913,1916,4,33,16,16,1,0.5,0,0,0,0,,-1.55,-1.37,0,0,
Western Carolina,1977,1981,5,55,25,28,2,0.473,0,0,0,0,,-8,-8.33,0,0,
Western Kentucky,2007,2014,8,96,39,57,0,0.406,1,0,1,0,0,-7.82,-5.56,0,0,
Western Michigan,1962,2014,53,583,296,280,7,0.514,4,0,4,0,0,-7.42,-7.96,0,2,W-L-T adjusted to 297-279-7 by NCAA.
Western State,1924,1937,14,95,19,76,0,0.2,0,0,0,0,,-20.15,-8.96,0,0,
Whitman,1923,1924,2,12,2,10,0,0.167,0,0,0,0,,-13.95,1.72,0,0,
Wichita State,1945,1986,42,433,167,254,12,0.4,3,0,3,0,0,-10.36,-6.4,0,5,W-L-T adjusted to 168-253-12 by NCAA.
William & Mary,1922,1983,55,559,260,279,20,0.483,3,1,2,0,0.333,-4.64,-4.52,3,4,
Williams,1886,1906,21,211,107,90,14,0.54,0,0,0,0,,1.15,0.03,0,0,
Wisconsin,1892,2014,123,1185,656,477,52,0.576,25,11,14,0,0.44,7.99,4.76,21,14,W-L-T adjusted to 657-476-52 by NCAA.
Wofford,1914,1936,15,128,36,88,4,0.297,0,0,0,0,,-13.04,-5.23,0,0,
WPI,1888,1893,2,11,3,7,1,0.318,0,0,0,0,,-12.11,-1.48,0,0,
Wyoming,1905,2014,103,1041,483,532,26,0.476,13,6,7,0,0.462,-4.6,-3.16,4,14,W-L-T adjusted to 484-531-26 by NCAA.
Xavier,1935,1973,16,160,70,86,4,0.45,0,0,0,0,,-11.6,-8.18,0,0,
Yale,1872,1981,108,973,718,203,52,0.765,0,0,0,0,,7.86,-1.11,4,11,
